mun_res,year_notif,mon_notif,cases
130260,2007,1,1
150010,2007,1,3
150020,2007,1,2
150120,2007,1,2
150130,2007,1,3
150140,2007,1,1
150178,2007,1,1
150190,2007,1,4
150210,2007,1,2
150275,2007,1,3
150350,2007,1,1
150460,2007,1,2
150470,2007,1,5
150506,2007,1,1
150520,2007,1,1
150570,2007,1,1
150630,2007,1,1
150655,2007,1,2
150680,2007,1,1
150720,2007,1,2
150790,2007,1,1
150800,2007,1,4
170100,2007,1,2
170210,2007,1,13
170410,2007,1,2
171420,2007,1,1
171570,2007,1,1
171610,2007,1,1
171820,2007,1,1
172080,2007,1,1
172100,2007,1,2
210060,2007,1,1
210160,2007,1,1
210280,2007,1,2
210300,2007,1,9
210330,2007,1,2
210340,2007,1,2
210405,2007,1,1
210455,2007,1,1
210480,2007,1,1
210530,2007,1,5
210535,2007,1,1
210570,2007,1,2
210660,2007,1,1
210900,2007,1,1
211107,2007,1,1
211120,2007,1,1
211174,2007,1,1
211220,2007,1,4
211250,2007,1,1
220100,2007,1,1
220177,2007,1,1
220370,2007,1,2
220390,2007,1,3
220557,2007,1,1
220790,2007,1,1
220800,2007,1,1
220840,2007,1,1
221000,2007,1,1
221100,2007,1,5
230230,2007,1,2
230280,2007,1,1
230370,2007,1,1
230410,2007,1,1
230423,2007,1,1
230440,2007,1,8
230490,2007,1,1
230550,2007,1,1
230625,2007,1,1
230730,2007,1,6
230800,2007,1,2
230890,2007,1,1
230930,2007,1,3
231090,2007,1,1
231170,2007,1,2
231290,2007,1,2
231335,2007,1,1
231395,2007,1,1
240725,2007,1,1
240800,2007,1,3
240810,2007,1,1
250800,2007,1,1
260080,2007,1,1
260220,2007,1,1
260510,2007,1,1
260650,2007,1,1
260990,2007,1,1
261110,2007,1,3
261450,2007,1,1
261610,2007,1,1
270470,2007,1,1
270642,2007,1,1
270720,2007,1,1
280030,2007,1,3
280120,2007,1,1
280210,2007,1,1
280240,2007,1,1
280280,2007,1,1
280320,2007,1,1
280400,2007,1,1
280460,2007,1,1
280550,2007,1,1
290135,2007,1,1
290460,2007,1,1
290530,2007,1,3
290620,2007,1,1
290720,2007,1,1
290860,2007,1,1
291050,2007,1,1
291190,2007,1,1
291200,2007,1,1
291685,2007,1,1
291720,2007,1,1
291840,2007,1,3
291875,2007,1,1
292340,2007,1,1
292530,2007,1,1
292560,2007,1,1
292690,2007,1,1
292740,2007,1,1
292820,2007,1,1
292830,2007,1,1
310620,2007,1,5
310670,2007,1,1
310860,2007,1,1
311860,2007,1,3
311890,2007,1,1
312980,2007,1,2
313510,2007,1,1
313520,2007,1,1
313630,2007,1,2
314085,2007,1,1
314330,2007,1,2
315220,2007,1,1
315460,2007,1,2
315780,2007,1,4
317010,2007,1,1
317040,2007,1,7
350280,2007,1,4
350600,2007,1,6
350650,2007,1,2
351440,2007,1,4
351720,2007,1,1
352044,2007,1,1
352050,2007,1,1
352500,2007,1,1
352600,2007,1,1
